Item #,Product Name,Additional Description,Thickness,SheetCount,Features,Product Color,Additional Product Color,Additional Product Color2,Imprint options,Imprint_Options_2,Location1,Location2  ,Location3,Location4,Point Style_1,Ink_Color_1,Point Style_2,Ink_Color_2,Ink_Options,Pricing Info,Production time,Imprint Info,Product Dimensions,US  Patent,Recycle  Info,Shipping  Info,Pack Qty,Pack Weight,Icons,Page Number
MGCLXL20,Year and Large Calendar,Year  and  Large  Calendar,20 mil,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  Calendar  and  schedule  magnets  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE  stock  background,  please  be  sure  to  specify  the  background  name  on  your  order.  For  available  stock  backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  ",,,,,,,,,,,,5 working days.,"Please  specify  shape  name  on  your  order.  

Calendar  magnet  orders  placed  after  June  1,  2012    will  default  to  2013  calendars  unless  otherwise  specified.",,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,250,17  lbs  (approx.),USA ^24 ^ECO,160
MGCLXL30,Year and Large Calendar,Year  and  Large  Calendar,30 mil,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  Calendar  and  schedule  magnets  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE  stock  background,  please  be  sure  to  specify  the  background  name  on  your  order.  For  available  stock  backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  ",,,,,,,,,,,,5 working days.,"Please  specify  shape  name  on  your  order.  

Calendar  magnet  orders  placed  after  June  1,  2012    will  default  to  2013  calendars  unless  otherwise  specified.",,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,125,14  lbs  (approx.),USA ^24 ^ECO,160
MGCS20-10,Custom Shape Magnets,Magnet  10.01?12  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-12,Custom Shape Magnets,Magnet  12.01?14  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-14,Custom Shape Magnets,Magnet  14.01?16  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-16,Custom Shape Magnets,Magnet  16.01?18  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-18,Custom Shape Magnets,Magnet  18.01?20  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-2,Custom Shape Magnets,Magnet  2?4  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-4,Custom Shape Magnets,Magnet  4.01?6  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-6,Custom Shape Magnets,Magnet  6.01?8  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS20-8,Custom Shape Magnets,Magnet  8.01?10  Square  Inches,20 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-10  ,Custom Shape Magnets,Magnet  10.01?12  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-12  ,Custom Shape Magnets,Magnet  12.01?14  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-14  ,Custom Shape Magnets,Magnet  14.01?16  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-16,Custom Shape Magnets,Magnet  16.01?18  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-18  ,Custom Shape Magnets,Magnet  18.01?20  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-2  ,Custom Shape Magnets,Magnet  2?4  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-4  ,Custom Shape Magnets,Magnet  4.01?6  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-6  ,Custom Shape Magnets,Magnet  6.01?8  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGCS30-8  ,Custom Shape Magnets,Magnet  8.01?10  Square  Inches,30 mil,,Stand  out  from  the  crowd  with  your  own  custom  shape  magnet!|Full  bleeds  available,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  $100(G)  die  charge  for  new  orders  only.  There  are  no  die  charges  for  exact  repeat  orders.  Stock  shapes  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.,,,,,,,,,,,,5 working days. Custom die-cut shape will be shipped within 15 working days of receipt of proof approval. There is no additional lead time for exact repeat orders.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TBD,TBD,USA ^ECO,157
MGDE1,"20 mil Dry-Erase Magnet (4""W x 5 1/4""H)",,,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process   imprint  on  a  white  surface.  Stock  shapes  do  not  include  the   stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE   stock  background,  please  be  sure  to  specify  the  background   name  on  your  order.  For  available  stock  backgrounds,  please   visit  product  page  at  www.bicgraphic.com.  

",,,,,,,,,,,,5 working days.,###############################################################################################################################################################################################################################################################,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,500,25  lbs  (approx.),USA ^24 ^ECO,161
MGDE2,"20 mil Dry-Erase Magnet (5 1/4""W x 8""H)",,,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process   imprint  on  a  white  surface.  Stock  shapes  do  not  include  the   stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE   stock  background,  please  be  sure  to  specify  the  background   name  on  your  order.  For  available  stock  backgrounds,  please   visit  product  page  at  www.bicgraphic.com.  

",,,,,,,,,,,,5 working days.,###############################################################################################################################################################################################################################################################,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,250,25  lbs  (approx.),USA ^24 ^ECO,161
MGDEM1,"20 mil Dry-Erase Magnet with Marker and Clip (4""W x 5 1/4""H",,,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process   imprint  on  a  white  surface.  Stock  shapes  do  not  include  the   stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE   stock  background,  please  be  sure  to  specify  the  background   name  on  your  order.  For  available  stock  backgrounds,  please   visit  product  page  at  www.bicgraphic.com.  ",Marker  Imprint:  Screen  Print  (SP):  Price  includes  a  1-color  imprint  on  cap  or  barrel.  Up  to  4  colors  available  on  any  cap/barrel  combination.    Add  $0.12(C)  per  marker  for  each  color  in  second  location.  Imprint  is  put  on  barrel  unless  otherwise  specified.,,,,,,,,,,,5 working days.,###############################################################################################################################################################################################################################################################,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,250,21  lbs  (approx.),USA ^24 ^ECO,161
MGDEM2,"20 mil Dry-Erase Magnet with Marker and Clip (5 1/4""W x 8""H)",,,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process   imprint  on  a  white  surface.  Stock  shapes  do  not  include  the   stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE   stock  background,  please  be  sure  to  specify  the  background   name  on  your  order.  For  available  stock  backgrounds,  please   visit  product  page  at  www.bicgraphic.com.  ",Marker  Imprint:  Screen  Print  (SP):  Price  includes  a  1-color  imprint  on  cap  or  barrel.  Up  to  4  colors  available  on  any  cap/barrel  combination.    Add  $0.12(C)  per  marker  for  each  color  in  second  location.  Imprint  is  put  on  barrel  unless  otherwise  specified.,,,,,,,,,,,5 working days.,###############################################################################################################################################################################################################################################################,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,125,14  lbs  (approx.),USA ^24 ^ECO,161
MGEBC,Economy  Business Card Magnets,,20 mil,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,Price  includes  a  1-color  imprint  on  a  white  surface  in  any  one  of  the  standard  imprint  colors  shown  on  page  220.  ,,,,,,,,,,,"Please  specify  square  or  rounded  corners  on  your  order;   if  not  specified,  square  corners   will  be  used.",5 working days.,,"2"" x 3 1/2""",,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,1000,17  lbs  (approx.),USA ^24 ^ECO,151
MGECOM,Ecolutions Recycled Paper Magnets,Paper  surface  made  from  100%  post-consumer  recycled  fiber*,12 mil,,Magnet  made  from  70%  pre-consumer  recycled  material|Paper  surface  made  from  100%  post-consumer  recycled  fiber*,,,,"Screen  Print  (SP):  Price  includes  a  1-color,  1-location  imprint  
in  any  one  of  the  standard  imprint  colors  shown  on  page  219",,"Paper Bag - 1 1/4""W x 1 3/4""H","Small Recycle Bin - 1 3/8""W x 3/4""H","Large Recycle Bin - 1 1/4""W x 1 3/8""H",,,,,,,,5 working days.,,,,Paper  surface  made  from  100%  post-consumer  recycled  fiber*,,2400,23  lbs  (approx.),USA ^24 ^ECO,188
MGECOS,Ecolutions Recycled Paper Magnets,Paper  surface  made  from  100%  post-consumer  recycled  fiber*,12 mil,,Magnet  made  from  70%  pre-consumer  recycled  material|Paper  surface  made  from  100%  post-consumer  recycled  fiber*,,,,"Screen  Print  (SP):  Price  includes  a  1-color,  1-location  imprint  
in  any  one  of  the  standard  imprint  colors  shown  on  page  218",,"Business Card - 3 1/4""W x 1 3/4""H","Square - 1 3/4"" x 1 3/4""","Circle - 1 3/4"" Diameter",,,,,,,,5 working days.,,,,Paper  surface  made  from  100%  post-consumer  recycled  fiber*,,1500,19  lbs  (approx.),USA ^24 ^ECO,188
MGFM,Frame-A-Mood Magnet,Frame-A-Mood  Magnet,,,Full  bleeds  available|Always  in  stock,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  ,,,,,,,,,,,,5 working days.,"Optional  French/Spanish  text:  $.18(G)  each
Standard  Frame  Colors:  Black  (default),  Blue  or  Red
Custom  frame  colors  available;   minimum  1,000  pcs.  at  $.18(G)  each",,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,280,20  lbs  (approx.),USA ^24 ^ECO,162
MGJBC20,Jumbo 4-Color Process Business Card Magnets,"4-Color  Process  Business  Card  (2 1/2""W  x  4 1/8""H)",20 mil,,Free  rounded  corners  available|FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock|,,,,"4-Color  Process  (4CP):  Price  includes   a  FREE  4-color  process  imprint  on  a  white  surface.  To  add   a  FREE  stock  background,  please  be  sure  to  specify  the   background  name  on  your  order.  For  available  stock   backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  Personalization  available;  multiple  names printed  within  a  single  order  for  $.60(G)  per  name.",,,,,,,,,,,"Please  specify  square  or  rounded  corners  on  your  order,   if  not  specified,  square  corners   will  be  used.",5 working days.,,"2 1/2""W  x  4 1/8""H",,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,500,15  lbs  (approx.),USA ^24 ^ECO,152
MGJBC30,Jumbo 4-Color Process Business Card Magnets,"4-Color  Process  Business  Card  (2 1/2""W  x  4 1/8""H)",30 mil,,Free  rounded  corners  available|FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock|,,,,"4-Color  Process  (4CP):  Price  includes   a  FREE  4-color  process  imprint  on  a  white  surface.  To  add   a  FREE  stock  background,  please  be  sure  to  specify  the   background  name  on  your  order.  For  available  stock   backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  Personalization  available;  multiple  names printed  within  a  single  order  for  $.60(G)  per  name.",,,,,,,,,,,"Please  specify  square  or  rounded  corners  on  your  order,   if  not  specified,  square  corners   will  be  used.",5 working days.,,"2 1/2""W  x  4 1/8""H",,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,500,20  lbs  (approx.),USA ^24 ^ECO,152
MGMA,Managing Your Anger Magnet ,Managing  Your  Anger  Magnet  ,,,Full  bleeds  available|Always  in  stock,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  ,,,,,,,,,,,,5 working days.,"Optional  French/Spanish  text:  $.18(G)  each
Standard  Frame  Colors:  Black  (default),  Blue  or  Red
Custom  frame  colors  available;   minimum  1,000  pcs.  at  $.18(G)  each",,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,250,14  lbs  (approx.),USA ^24 ^ECO,162
MGMM,Original Mood Magnet,Original  Mood  Magnet,,,Full  bleeds  available|Always  in  stock,,,,4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  ,,,,,,,,,,,,5 working days.,"Optional  French/Spanish  text:  $.18(G)  each
Standard  Frame  Colors:  Black  (default),  Blue  or  Red
Custom  frame  colors  available;   minimum  1,000  pcs.  at  $.18(G)  each",,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,280,24  lbs  (approx.),USA ^24 ^ECO,162
MGSCH20,Football & Rectangle Schedules,Football  &  Rectangle  Schedules,20 mil,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  Calendar  and  schedule  magnets  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE  stock  background,  please  be  sure  to  specify  the  background  name  on  your  order.  For  available  stock  backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  ",,,,,,,,,,,,5 working days.,"Please  specify  shape  name  on  your  order.  

Calendar  magnet  orders  placed  after  June  1,  2012    will  default  to  2013  calendars  unless  otherwise  specified.",,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TABLE,TABLE,USA ^24 ^ECO,160
MGSCH30,Football & Rectangle Schedules,Football  &  Rectangle  Schedules,30 mil,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  Calendar  and  schedule  magnets  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE  stock  background,  please  be  sure  to  specify  the  background  name  on  your  order.  For  available  stock  backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  ",,,,,,,,,,,,5 working days.,"Please  specify  shape  name  on  your  order.  

Calendar  magnet  orders  placed  after  June  1,  2012    will  default  to  2013  calendars  unless  otherwise  specified.",,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TABLE,TABLE,USA ^24 ^ECO,160
MGSE20,Special Event & Dry Erase Magnets,"Special  Event  Magnet  (2 3/4""W  x  3 1/2""H)",20 mil,,Low  minimums|FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process   imprint  on  a  white  surface.  Stock  shapes  do  not  include  the   stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE   stock  background,  please  be  sure  to  specify  the  background   name  on  your  order.  For  available  stock  backgrounds,  please   visit  product  page  at  www.bicgraphic.com.  

",,,,,,,,,,,,5 working days.,###############################################################################################################################################################################################################################################################,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,500,13  lbs  (approx.),USA ^24 ^ECO,161
MGSE30,Special Event & Dry Erase Magnets,"Special  Event  Magnet  (2 3/4""W  x  3 1/2""H)",30 mil,,Low  minimums|FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process   imprint  on  a  white  surface.  Stock  shapes  do  not  include  the   stock  backgrounds  shown  as  a  standard  feature.  To  add  a  FREE   stock  background,  please  be  sure  to  specify  the  background   name  on  your  order.  For  available  stock  backgrounds,  please   visit  product  page  at  www.bicgraphic.com.  
",,,,,,,,,,,,5 working days.,###############################################################################################################################################################################################################################################################,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,500,21  lbs  (approx.),USA ^24 ^ECO,161
MGSPFL20,Picture Frame Magnets,"Three  Magnets  in  One,  Rectangle   and  Rectangle  Calendar",20 mil,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  Picture  frame  magnets  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.    To  add  a  FREE  stock  background,  please  be  sure  to  specify  the  background  name  on  your  order.  For  available  stock  backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  ",,,,,,,,,,,,5 working days.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TABLE,TABLE,USA ^24 ^ECO,158
MGSPFL30,Picture Frame Magnets,"Three  Magnets  in  One,  Rectangle   and  Rectangle  Calendar",30 mil,,FREE  stock  backgrounds|Full  bleeds  available|Always  in  stock,,,,"4-Color  Process  (4CP):  Price  includes  a  FREE  4-color  process  imprint  on  a  white  surface.  Picture  frame  magnets  do  not  include  the  stock  backgrounds  shown  as  a  standard  feature.    To  add  a  FREE  stock  background,  please  be  sure  to  specify  the  background  name  on  your  order.  For  available  stock  backgrounds,  please  visit  product  page  at  www.bicgraphic.com.  ",,,,,,,,,,,,5 working days.,,,,Magnets  are  made  from  flexible  magnet  sheets  containing  a  minimum  of  12%  recycled  material.,,TABLE,TABLE,USA ^24 ^ECO,158
